Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Robin Koch,de GER,DF,Eint Frankfurt,de Bundesliga,28-125,1996,9.8,6,0.61,5,0,0,1,0,0,1,0.10,1,0,0,0,0,0,Matches
Robin Hranáč,cz CZE,DF,Hoffenheim,de Bundesliga,24-295,2000,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Robin Hack,de GER,FW,Gladbach,de Bundesliga,26-084,1998,5.2,17,3.28,13,1,0,2,1,0,1,0.19,1,0,0,0,0,0,Matches
Robin Gosens,de GER,DF,Fiorentina,it Serie A,30-137,1994,9.7,27,2.79,21,3,1,2,0,0,6,0.62,3,1,0,2,0,0,Matches
Robin Gosens,de GER,DF,Union Berlin,de Bundesliga,30-137,1994,1.0,5,5.00,3,0,0,1,0,1,1,1.00,1,0,0,0,0,0,Matches
Roberto Piccoli,it ITA,FW,Cagliari,it Serie A,23-297,2001,11.0,20,1.83,7,1,0,5,7,0,1,0.09,0,0,0,0,1,0,Matches
Roberto Navarro,es ESP,"MF,FW",Mallorca,es La Liga,22-221,2002,6.9,16,2.31,13,0,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Roberto López,es ESP,MF,Leganés,es La Liga,24-209,2000,4.0,13,3.27,6,5,1,0,0,1,1,0.25,0,1,0,0,0,0,Matches
Roberto Gagliardini,it ITA,"MF,DF",Monza,it Serie A,30-226,1994,1.1,3,2.84,1,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Robert Wagner,de GER,MF,St. Pauli,de Bundesliga,21-128,2003,4.0,3,0.74,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Robert Skov,dk DEN,"DF,MF",Union Berlin,de Bundesliga,28-183,1996,1.2,4,3.40,2,1,1,0,0,0,2,1.70,1,0,1,0,0,0,Matches
Robert Sánchez,es ESP,GK,Chelsea,eng Premier League,27-001,1997,11.0,2,0.18,1,1,0,0,0,0,1,0.09,0,1,0,0,0,0,Matches
Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,36-090,1988,11.9,27,2.27,16,0,4,4,3,0,1,0.08,1,0,0,0,0,0,Matches
Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,30-058,1994,7.5,17,2.27,12,0,1,3,0,1,1,0.13,1,0,0,0,0,0,Matches
Ritsu Doan,jp JPN,FW,Freiburg,de Bundesliga,26-156,1998,9.4,27,2.88,13,0,5,6,3,0,2,0.21,1,0,0,1,0,0,Matches
Ridle Baku,de GER,"FW,MF",Wolfsburg,de Bundesliga,26-225,1998,8.0,18,2.25,13,1,0,2,1,1,3,0.37,2,0,0,0,1,0,Matches
Ridgeciano Haps,sr SUR,DF,Venezia,it Serie A,31-160,1993,6.9,12,1.74,8,0,1,2,1,0,0,0.00,0,0,0,0,0,0,Matches
Rico Lewis,eng ENG,"DF,MF",Manchester City,eng Premier League,19-364,2004,8.6,16,1.87,15,0,0,0,1,0,2,0.23,2,0,0,0,0,0,Matches
Richie Sagrado,be BEL,DF,Venezia,it Serie A,20-294,2004,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
