Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Jon Martin,es ESP,DF,Real Sociedad,es La Liga,18-323,2006,1.0,1,1.00,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Jon Magunacelaya,es ESP,MF,Real Sociedad,es La Liga,24-129,2000,0.1,1,12.86,1,0,0,0,0,0,1,12.86,1,0,0,0,0,0,Matches
Jon Guridi,es ESP,MF,Alavés,es La Liga,29-265,1995,7.7,20,2.61,16,1,1,1,0,1,4,0.52,3,0,1,0,0,0,Matches
Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,22-119,2002,8.4,16,1.91,14,1,1,0,0,0,1,0.12,1,0,0,0,0,0,Matches
Johnny Cardoso,us USA,MF,Betis,es La Liga,23-060,2001,6.3,10,1.60,9,0,1,0,0,0,1,0.16,1,0,0,0,0,0,Matches
John Yeboah,ec ECU,"MF,FW",Venezia,it Serie A,24-149,2000,2.1,3,1.47,3,0,0,0,0,0,1,0.49,1,0,0,0,0,0,Matches
John Stones,eng ENG,"DF,MF",Manchester City,eng Premier League,30-175,1994,2.7,5,1.87,5,0,0,0,0,0,1,0.37,1,0,0,0,0,0,Matches
John McGinn,sct SCO,"FW,MF",Aston Villa,eng Premier League,30-032,1994,6.1,15,2.44,12,1,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
John Joe,ie IRL,"FW,MF",Getafe,es La Liga,21-026,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Johannes Eggestein,de GER,FW,St. Pauli,de Bundesliga,26-195,1998,9.1,20,2.21,18,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Johann Lepenant,fr FRA,MF,Nantes,fr Ligue 1,22-028,2002,6.0,10,1.67,8,0,2,0,0,0,4,0.67,3,0,1,0,0,0,Matches
Johan Vásquez,mx MEX,DF,Genoa,it Serie A,26-028,1998,11.3,8,0.71,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Johan Mojica,co COL,DF,Mallorca,es La Liga,32-090,1992,10.1,24,2.38,20,1,1,1,1,0,1,0.10,1,0,0,0,0,0,Matches
Johan Manzambi,ch SUI,FW,Freiburg,de Bundesliga,19-036,2005,0.1,1,9.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jofre,es ESP,"MF,FW",Espanyol,es La Liga,23-155,2001,8.5,21,2.47,12,0,3,2,4,0,4,0.47,3,0,0,0,1,0,Matches
Joelinton,br BRA,"MF,FW",Newcastle Utd,eng Premier League,28-097,1996,10.3,22,2.14,18,1,0,2,0,1,1,0.10,1,0,0,0,0,0,Matches
Joël Veltman,nl NED,DF,Brighton,eng Premier League,32-309,1992,9.6,10,1.04,5,1,1,1,2,0,1,0.10,0,1,0,0,0,0,Matches
Joël Schingtienne,be BEL,DF,Venezia,it Serie A,22-099,2002,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Joel Pohjanpalo,fi FIN,FW,Venezia,it Serie A,30-067,1994,9.1,19,2.09,14,0,0,3,2,0,2,0.22,1,0,0,0,1,0,Matches
Joe Willock,eng ENG,"MF,FW",Newcastle Utd,eng Premier League,25-091,1999,3.7,20,5.49,18,0,1,1,0,0,2,0.55,2,0,0,0,0,0,Matches
Joe Scally,us USA,DF,Gladbach,de Bundesliga,21-324,2002,9.8,9,0.92,8,0,0,0,1,0,1,0.10,1,0,0,0,0,0,Matches
Joe Gomez,eng ENG,DF,Liverpool,eng Premier League,27-180,1997,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Joe Aribo,ng NGA,MF,Southampton,eng Premier League,28-121,1996,6.7,11,1.65,10,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Joaquín Correa,ar ARG,"MF,FW",Inter,it Serie A,30-098,1994,0.5,2,4.29,2,0,0,0,0,0,1,2.14,1,0,0,0,0,0,Matches
João Pedro,br BRA,"MF,FW",Brighton,eng Premier League,23-054,2001,3.4,10,2.93,8,0,1,0,1,0,2,0.59,2,0,0,0,0,0,Matches
João Palhinha,pt POR,MF,Bayern Munich,de Bundesliga,29-133,1995,3.9,7,1.81,5,0,0,2,0,0,1,0.26,0,0,0,1,0,0,Matches
João Neves,pt POR,MF,Paris S-G,fr Ligue 1,20-053,2004,8.7,33,3.79,26,0,2,1,1,3,9,1.03,9,0,0,0,0,0,Matches
João Gomes,br BRA,MF,Wolves,eng Premier League,23-281,2001,10.3,16,1.55,13,1,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
João Félix,pt POR,"MF,FW",Chelsea,eng Premier League,25-009,1999,1.4,4,2.93,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Joan Jordán,es ESP,MF,Alavés,es La Liga,30-136,1994,3.7,16,4.36,13,2,0,0,1,0,2,0.55,1,1,0,0,0,0,Matches
Joan García,es ESP,GK,Espanyol,es La Liga,23-199,2001,12.0,1,0.08,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Joakim Mæhle,dk DEN,DF,Wolfsburg,de Bundesliga,27-183,1997,2.4,2,0.85,1,0,0,1,0,0,1,0.42,1,0,0,0,0,0,Matches
Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,28-172,1996,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,28-172,1996,6.7,6,0.90,3,0,0,3,0,0,0,0.00,0,0,0,0,0,0,Matches
Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,29-266,1995,5.8,12,2.07,7,0,0,4,0,1,4,0.69,2,0,0,2,0,0,Matches
Jibril Othman,tn TUN,FW,Saint-Étienne,fr Ligue 1,20-207,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jhon Solis,co COL,MF,Girona,es La Liga,20-047,2004,3.2,5,1.56,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Jhon Lucumí,co COL,DF,Bologna,it Serie A,26-146,1998,6.4,10,1.57,10,0,0,0,0,0,2,0.31,2,0,0,0,0,0,Matches
Jhon Durán,co COL,FW,Aston Villa,eng Premier League,20-342,2003,3.2,6,1.87,3,0,0,0,2,1,0,0.00,0,0,0,0,0,0,Matches
Jhoanner Chávez,ec ECU,"DF,MF",Lens,fr Ligue 1,22-208,2002,6.3,15,2.37,8,5,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Jesus Vazquez,es ESP,DF,Valencia,es La Liga,21-322,2003,6.2,5,0.81,4,0,1,0,0,0,1,0.16,1,0,0,0,0,0,Matches
Jesús Vallejo,es ESP,DF,Real Madrid,es La Liga,27-319,1997,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jesús Santiago,es ESP,MF,Getafe,es La Liga,20-178,2004,2.4,3,1.27,1,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Jesús Navas,es ESP,"FW,MF",Sevilla,es La Liga,38-364,1985,3.4,12,3.54,10,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jesús Areso,es ESP,DF,Osasuna,es La Liga,25-140,1999,11.8,20,1.69,17,2,0,0,1,0,1,0.08,1,0,0,0,0,0,Matches
Jesse Joronen,fi FIN,GK,Venezia,it Serie A,31-243,1993,7.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jesper Lindstrøm,dk DEN,FW,Everton,eng Premier League,24-264,2000,3.9,18,4.64,9,5,1,2,1,0,0,0.00,0,0,0,0,0,0,Matches
Jesper Karlström,se SWE,MF,Udinese,it Serie A,29-151,1995,11.1,13,1.18,12,0,0,0,0,1,1,0.09,1,0,0,0,0,0,Matches
Jesper Karlsson,se SWE,FW,Bologna,it Serie A,26-117,1998,2.1,7,3.32,7,0,0,0,0,0,1,0.47,1,0,0,0,0,0,Matches
Jérôme Roussillon,fr FRA,DF,Union Berlin,de Bundesliga,31-318,1993,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jérémy Sebas,mq MTQ,"FW,MF",Strasbourg,fr Ligue 1,21-219,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jeremy Sarmiento,ec ECU,MF,Brighton,eng Premier League,22-156,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jérémy Le Douaron,fr FRA,FW,Brest,fr Ligue 1,26-212,1998,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jeremy Doku,be BEL,"FW,MF",Manchester City,eng Premier League,22-176,2002,4.5,21,4.66,17,1,2,1,0,0,1,0.22,1,0,0,0,0,0,Matches
Jeremie Frimpong,nl NED,"DF,MF",Leverkusen,de Bundesliga,23-345,2000,8.3,25,3.00,21,0,2,0,0,2,4,0.48,2,0,1,0,0,1,Matches
Jeremie Boga,ci CIV,"MF,FW",Nice,fr Ligue 1,27-321,1997,6.0,31,5.22,17,5,4,4,1,0,2,0.34,1,0,0,1,0,0,Matches
Jeong Woo-yeong,kr KOR,"MF,FW",Union Berlin,de Bundesliga,25-060,1999,5.4,22,4.06,16,2,1,3,0,0,2,0.37,0,1,1,0,0,0,Matches
Jens Stage,dk DEN,MF,Werder Bremen,de Bundesliga,28-011,1996,6.2,11,1.78,8,0,0,2,1,0,2,0.32,2,0,0,0,0,0,Matches
Jens Odgaard,dk DEN,"MF,FW",Bologna,it Serie A,25-233,1999,5.3,11,2.06,6,0,2,2,1,0,1,0.19,0,0,0,1,0,0,Matches
Jens Cajuste,se SWE,MF,Ipswich Town,eng Premier League,25-101,1999,3.0,6,2.01,5,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jeffrey Schlupp,gh GHA,"MF,DF",Crystal Palace,eng Premier League,31-332,1992,0.8,5,6.52,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jeffrey Gouweleeuw,nl NED,DF,Augsburg,de Bundesliga,33-132,1991,10.0,16,1.60,13,2,0,0,0,1,2,0.20,1,0,0,0,0,1,Matches
Jefferson Lerma,co COL,"MF,DF",Crystal Palace,eng Premier League,30-025,1994,4.6,7,1.52,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Jeff Ekhator,it ITA,"FW,MF",Genoa,it Serie A,18-008,2006,4.0,14,3.52,10,0,0,2,2,0,2,0.50,1,0,0,1,0,0,Matches
Jeanuël Belocian,fr FRA,DF,Leverkusen,de Bundesliga,19-276,2005,0.5,1,1.96,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,eng Premier League,26-145,1998,5.3,15,2.84,8,0,1,1,3,2,2,0.38,1,0,0,0,0,1,Matches
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,eng Premier League,27-144,1997,8.4,14,1.67,10,0,0,3,1,0,0,0.00,0,0,0,0,0,0,Matches
Jean-Philippe Gbamin,ci CIV,MF,Nantes,fr Ligue 1,29-055,1995,2.0,4,1.97,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Jean-Kevin Duverne,ht HAI,DF,Nantes,fr Ligue 1,27-130,1997,4.6,5,1.08,3,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,30-244,1994,8.5,17,2.00,10,0,2,1,2,2,0,0.00,0,0,0,0,0,0,Matches
Jean-Clair Todibo,fr FRA,DF,West Ham,eng Premier League,24-325,1999,5.6,4,0.71,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Jean-Charles Castelletto,cm CMR,DF,Nantes,fr Ligue 1,29-298,1995,9.0,5,0.56,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jean Mattéo Bahoya,fr FRA,MF,Eint Frankfurt,de Bundesliga,19-196,2005,1.4,4,2.86,2,0,0,1,1,0,2,1.43,1,0,0,0,1,0,Matches
Jaydee Canvot,fr FRA,DF,Toulouse,fr Ligue 1,18-113,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jay Stansfield,eng ENG,MF,Fulham,eng Premier League,21-361,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jay Idzes,id IDN,DF,Venezia,it Serie A,24-170,2000,9.7,9,0.92,7,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Javier Muñoz,es ESP,MF,Las Palmas,es La Liga,29-265,1995,8.8,15,1.70,14,0,1,0,0,0,2,0.23,2,0,0,0,0,0,Matches
Javier Manquillo,es ESP,DF,Celta Vigo,es La Liga,30-198,1994,5.4,1,0.19,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Javier Guerra,es ESP,"MF,FW",Valencia,es La Liga,21-323,2003,5.8,11,1.89,8,0,1,0,1,1,0,0.00,0,0,0,0,0,0,Matches
Javi Sánchez,es ESP,DF,Valladolid,es La Liga,27-250,1997,6.5,4,0.62,3,0,0,1,0,0,1,0.15,0,0,0,1,0,0,Matches
Javi Rodríguez,es ESP,DF,Celta Vigo,es La Liga,21-146,2003,7.7,9,1.17,7,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Javi Puado,es ESP,FW,Espanyol,es La Liga,26-178,1998,9.2,15,1.64,10,0,2,2,1,0,1,0.11,1,0,0,0,0,0,Matches
Javi Martón,es ESP,"FW,MF",Athletic Club,es La Liga,25-197,1999,0.6,1,1.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Javi Martínez,es ESP,MF,Osasuna,es La Liga,24-333,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Javi López,es ESP,DF,Real Sociedad,es La Liga,22-239,2002,7.1,6,0.84,4,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Javi Hernández,es ESP,DF,Leganés,es La Liga,26-201,1998,7.9,10,1.26,10,0,0,0,0,0,1,0.13,1,0,0,0,0,0,Matches
Javi Galán,es ESP,DF,Atlético Madrid,es La Liga,30-000,1994,3.5,10,2.84,8,1,1,0,0,0,2,0.57,2,0,0,0,0,0,Matches
Jasper Cillessen,nl NED,GK,Las Palmas,es La Liga,35-211,1989,10.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jason Steele,eng ENG,GK,Brighton,eng Premier League,34-093,1990,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jarrod Bowen,eng ENG,"MF,FW",West Ham,eng Premier League,27-335,1996,10.7,41,3.82,24,8,2,5,1,1,2,0.19,2,0,0,0,0,0,Matches
Jarrad Branthwaite,eng ENG,DF,Everton,eng Premier League,22-145,2002,2.1,2,0.96,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jarell Quansah,eng ENG,DF,Liverpool,eng Premier League,21-295,2003,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jannik Vestergaard,dk DEN,DF,Leicester City,eng Premier League,32-108,1992,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jann-Fiete Arp,de GER,FW,Holstein Kiel,de Bundesliga,24-318,2000,3.1,11,3.52,6,2,1,0,2,0,1,0.32,0,1,0,0,0,0,Matches
Janik Haberer,de GER,"DF,MF",Union Berlin,de Bundesliga,30-231,1994,4.4,9,2.06,4,1,0,2,2,0,0,0.00,0,0,0,0,0,0,Matches
Jan Schöppner,de GER,MF,Heidenheim,de Bundesliga,25-160,1999,9.2,19,2.06,14,0,1,4,0,0,2,0.22,1,0,0,1,0,0,Matches
Jan Paul van Hecke,nl NED,DF,Brighton,eng Premier League,24-164,2000,8.1,15,1.85,14,0,0,1,0,0,1,0.12,1,0,0,0,0,0,Matches
Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,31-317,1993,12.0,3,0.25,2,1,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
Jan Bednarek,pl POL,DF,Southampton,eng Premier League,28-221,1996,10.9,9,0.83,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jamie Vardy,eng ENG,FW,Leicester City,eng Premier League,37-313,1987,9.4,18,1.92,12,0,2,1,3,0,5,0.53,2,0,1,0,2,0,Matches
Jamie Leweling,de GER,"FW,MF",Stuttgart,de Bundesliga,23-267,2001,7.3,21,2.88,14,0,4,1,2,0,2,0.27,1,0,0,1,0,0,Matches
Jamie Gittens,eng ENG,"FW,MF",Dortmund,de Bundesliga,20-103,2004,6.2,26,4.19,11,0,12,3,0,0,5,0.81,2,0,3,0,0,0,Matches
James Ward-Prowse,eng ENG,MF,West Ham,eng Premier League,30-018,1994,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
James Ward-Prowse,eng ENG,MF,Nott'ham Forest,eng Premier League,30-018,1994,3.2,6,1.87,4,2,0,0,0,0,1,0.31,0,1,0,0,0,0,Matches
James Tarkowski,eng ENG,DF,Everton,eng Premier League,32-000,1992,11.0,12,1.09,8,1,0,3,0,0,0,0.00,0,0,0,0,0,0,Matches
James Rodríguez,co COL,"MF,FW",Rayo Vallecano,es La Liga,33-130,1991,1.6,6,3.86,4,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
James Milner,eng ENG,MF,Brighton,eng Premier League,38-320,1986,1.9,8,4.26,5,2,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
James Mcatee,eng ENG,FW,Manchester City,eng Premier League,22-032,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
James Maddison,eng ENG,MF,Tottenham,eng Premier League,27-362,1996,7.6,44,5.78,30,7,1,3,3,0,7,0.92,5,1,0,1,0,0,Matches
James Justin,eng ENG,DF,Leicester City,eng Premier League,26-270,1998,9.9,14,1.41,10,1,0,0,3,0,1,0.10,1,0,0,0,0,0,Matches
James Garner,eng ENG,"DF,MF",Everton,eng Premier League,23-251,2001,2.8,5,1.78,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
James Bree,eng ENG,DF,Southampton,eng Premier League,27-039,1997,0.2,2,12.86,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
James Abankwah,ie IRL,DF,Udinese,it Serie A,20-308,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jamal Musiala,de GER,MF,Bayern Munich,de Bundesliga,21-267,2003,6.8,34,5.02,23,1,7,0,2,1,3,0.44,1,0,1,0,0,1,Matches
Jakub Moder,pl POL,MF,Brighton,eng Premier League,25-226,1999,0.1,1,18.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jakub Kiwior,pl POL,DF,Arsenal,eng Premier League,24-278,2000,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jakub Kamiński,pl POL,"DF,MF",Wolfsburg,de Bundesliga,22-167,2002,7.3,24,3.31,15,6,2,1,0,0,3,0.41,1,1,0,1,0,0,Matches
Jakov Medić,hr CRO,DF,Bochum,de Bundesliga,26-073,1998,7.8,3,0.38,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jake O'Brien,ie IRL,DF,Everton,eng Premier League,23-188,2001,0.3,1,3.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jaka Bijol,si SVN,DF,Udinese,it Serie A,25-288,1999,12.0,9,0.75,7,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Jaime Mata,es ESP,FW,Las Palmas,es La Liga,36-026,1988,2.6,4,1.53,2,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Jailson Siqueira,br BRA,"DF,MF",Celta Vigo,es La Liga,29-073,1995,5.0,7,1.40,5,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
Jahmai Simpson-Pusey,eng ENG,DF,Manchester City,eng Premier League,19-015,2005,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jadon Sancho,eng ENG,FW,Chelsea,eng Premier League,24-239,2000,3.4,14,4.13,13,0,0,0,1,0,6,1.77,5,0,0,0,1,0,Matches
Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,eng Premier League,22-285,2002,2.2,2,0.90,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Jacques Ekomie,ga GAB,DF,Angers,fr Ligue 1,21-092,2003,2.5,3,1.18,2,0,0,0,0,1,1,0.39,1,0,0,0,0,0,Matches
Jacopo Fazzini,it ITA,MF,Empoli,it Serie A,21-248,2003,6.1,17,2.80,9,1,2,2,3,0,2,0.33,2,0,0,0,0,0,Matches
Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,eng Premier League,23-175,2001,7.0,27,3.84,20,0,4,1,2,0,3,0.43,3,0,0,0,0,0,Matches
Jacob Murphy,eng ENG,FW,Newcastle Utd,eng Premier League,29-269,1995,5.5,17,3.08,13,3,0,0,1,0,3,0.54,3,0,0,0,0,0,Matches
Jacob Greaves,eng ENG,DF,Ipswich Town,eng Premier League,24-068,2000,7.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jacob Bruun Larsen,dk DEN,"DF,FW",Hoffenheim,de Bundesliga,26-061,1998,1.3,6,4.62,1,1,1,3,0,0,2,1.54,1,0,0,1,0,0,Matches
Jackson Tchatchoua,cm CMR,"DF,MF",Hellas Verona,it Serie A,23-066,2001,10.4,19,1.83,16,2,1,0,0,0,1,0.10,1,0,0,0,0,0,Matches
Jackson Irvine,au AUS,MF,St. Pauli,de Bundesliga,31-257,1993,10.0,23,2.30,22,0,0,0,0,1,3,0.30,2,0,0,0,0,1,Matches
Jack Taylor,ie IRL,MF,Ipswich Town,eng Premier League,26-149,1998,1.5,5,3.36,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jack Stephens,eng ENG,DF,Southampton,eng Premier League,30-297,1994,6.4,7,1.10,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jack Hinshelwood,eng ENG,"MF,DF",Brighton,eng Premier League,19-222,2005,9.3,20,2.15,14,4,0,1,1,0,2,0.21,2,0,0,0,0,0,Matches
Jack Harrison,eng ENG,FW,Everton,eng Premier League,27-365,1996,7.0,16,2.30,13,0,0,1,2,0,2,0.29,1,0,0,0,1,0,Matches
Jack Grealish,eng ENG,"FW,MF",Manchester City,eng Premier League,29-070,1995,3.8,26,6.76,23,1,1,0,0,1,2,0.52,1,0,0,0,0,1,Matches
Jack Clarke,eng ENG,FW,Ipswich Town,eng Premier League,23-362,2000,4.0,11,2.77,10,0,1,0,0,0,1,0.25,1,0,0,0,0,0,Matches
Iván Villar,es ESP,GK,Celta Vigo,es La Liga,27-133,1997,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Iván Sánchez,es ESP,"MF,FW",Valladolid,es La Liga,32-057,1992,4.8,15,3.10,11,2,0,0,2,0,1,0.21,1,0,0,0,0,0,Matches
Ivan Provedel,it ITA,GK,Lazio,it Serie A,30-247,1994,12.0,2,0.17,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ivan Ordets,ua UKR,DF,Bochum,de Bundesliga,32-134,1992,4.0,2,0.50,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Iván Martín,es ESP,MF,Girona,es La Liga,25-279,1999,8.3,16,1.94,16,0,0,0,0,0,2,0.24,2,0,0,0,0,0,Matches
Ivan Ilić,rs SRB,MF,Torino,it Serie A,23-247,2001,6.4,24,3.72,17,4,0,1,2,0,6,0.93,4,2,0,0,0,0,Matches
Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,32-323,1992,6.6,8,1.21,6,1,0,0,1,0,1,0.15,1,0,0,0,0,0,Matches
Issiaga Sylla,gn GUI,"DF,MF",Montpellier,fr Ligue 1,30-323,1994,3.8,6,1.57,3,3,0,0,0,0,2,0.52,0,2,0,0,0,0,Matches
Issiaga Camara,gn GUI,MF,Nice,fr Ligue 1,19-291,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Issa Soumaré,sn SEN,"FW,MF",Le Havre,fr Ligue 1,24-040,2000,4.9,8,1.62,6,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Issa Doumbia,ci CIV,MF,Venezia,it Serie A,21-034,2003,1.6,5,3.10,4,0,0,0,0,1,1,0.62,1,0,0,0,0,0,Matches
Issa Diop,fr FRA,DF,Fulham,eng Premier League,27-315,1997,4.4,3,0.69,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Israel Domínguez,es ESP,FW,Sevilla,es La Liga,21-196,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ismaily,br BRA,DF,Lille,fr Ligue 1,34-313,1990,0.9,3,3.29,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ismaila Sarr,sn SEN,"MF,FW",Crystal Palace,eng Premier League,26-268,1998,5.4,23,4.29,15,0,2,2,4,0,2,0.37,0,0,0,0,2,0,Matches
Ismail Jakobs,sn SEN,DF,Monaco,fr Ligue 1,25-094,1999,2.0,8,4.00,6,2,0,0,0,0,1,0.50,1,0,0,0,0,0,Matches
Ismaël Koné,ca CAN,"MF,FW",Marseille,fr Ligue 1,22-166,2002,3.5,5,1.43,2,1,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Ismael Konate,ci CIV,FW,Empoli,it Serie A,18-235,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ismaël Doukouré,fr FRA,MF,Strasbourg,fr Ligue 1,21-118,2003,9.5,10,1.05,9,0,0,0,1,0,2,0.21,2,0,0,0,0,0,Matches
Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,26-354,1997,0.6,2,3.10,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Isak Hien,se SWE,DF,Atalanta,it Serie A,25-311,1999,7.8,1,0.13,1,0,0,0,0,0,1,0.13,1,0,0,0,0,0,Matches
Isaac Romero,es ESP,FW,Sevilla,es La Liga,24-185,2000,8.9,14,1.58,9,0,3,0,2,0,2,0.23,2,0,0,0,0,0,Matches
Isaac Palazón Camacho,es ESP,"FW,MF",Rayo Vallecano,es La Liga,29-328,1994,7.8,30,3.82,18,4,1,2,5,0,1,0.13,1,0,0,0,0,0,Matches
Irvin Cardona,fr FRA,"MF,FW",Espanyol,es La Liga,27-103,1997,3.6,14,3.93,12,1,0,1,0,0,3,0.84,2,0,0,1,0,0,Matches
Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,es La Liga,31-105,1993,5.3,14,2.62,13,1,0,0,0,0,1,0.19,0,1,0,0,0,0,Matches
Iñigo Martínez,es ESP,DF,Barcelona,es La Liga,33-186,1991,11.8,22,1.87,18,1,0,3,0,0,4,0.34,3,1,0,0,0,0,Matches
Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,31-199,1993,3.5,4,1.13,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Iñaki Williams,gh GHA,FW,Athletic Club,es La Liga,30-157,1994,10.8,31,2.87,22,1,2,3,1,2,7,0.65,5,0,1,1,0,0,Matches
